iter	Passed	Remaining
830	3459	703
831	3463	699
832	3466	695
833	3472	691
834	3476	686
835	3479	682
836	3483	678
837	3488	674
838	3493	670
839	3497	666
840	3500	661
841	3504	657
842	3509	653
843	3513	649
844	3519	645
845	3523	641
846	3527	637
847	3530	632
848	3535	628
849	3539	624
850	3543	620
851	3547	616
852	3551	612
853	3556	607
854	3559	603
855	3563	599
856	3567	595
857	3571	591
858	3576	587
859	3580	582
860	3584	578
861	3589	574
862	3593	570
863	3597	566
864	3602	562
865	3607	558
866	3612	554
867	3617	550
868	3621	545
869	3625	541
870	3629	537
871	3635	533
872	3641	529
873	3647	525
874	3654	522
875	3659	517
876	3662	513
877	3667	509
878	3672	505
879	3675	501
880	3678	496
881	3683	492
882	3687	488
883	3691	484
884	3694	480
885	3700	476
886	3704	471
887	3709	467
888	3716	464
889	3721	459
890	3725	455
891	3729	451
892	3733	447
893	3736	443
894	3740	438
895	3744	434
896	3748	430
897	3751	426
898	3755	421
899	3759	417
900	3765	413
901	3768	409
902	3771	405
903	3777	401
904	3781	396
905	3786	392
906	3790	388
907	3796	384
908	3799	380
909	3803	376
910	3807	371
911	3812	367
912	3816	363
913	3821	359
914	3825	355
915	3829	351
916	3833	346
917	3836	342
918	3840	338
919	3844	334
920	3848	330
921	3851	325
922	3854	321
923	3860	317
924	3864	313
925	3868	309
926	3873	305
927	3877	300
928	3882	296
929	3885	292
930	3888	288
931	3893	284
932	3897	279
933	3901	275
934	3904	271
935	3908	267
936	3912	263
937	3915	258
938	3918	254
939	3922	250
940	3926	246
941	3929	241
942	3932	237
943	3935	233
944	3940	229
945	3943	225
946	3946	220
947	3949	216
948	3953	212
949	3956	208
950	3959	204
951	3963	199
952	3966	195
953	3971	191
954	3974	187
955	3978	183
956	3981	178
957	3984	174
958	3988	170
959	3991	166
960	3994	162
961	3998	157
962	4002	153
963	4005	149
964	4009	145
965	4012	141
966	4015	137
967	4020	132
968	4023	128
969	4026	124
970	4030	120
971	4036	116
972	4039	112
973	4042	107
974	4047	103
975	4051	99
976	4056	95
977	4061	91
978	4066	87
979	4069	83
980	4073	78
981	4077	74
982	4081	70
983	4088	66
984	4094	62
985	4101	58
986	4107	54
987	4112	49
988	4119	45
989	4125	41
990	4130	37
991	4135	33
992	4139	29
993	4142	25
994	4146	20
995	4150	16
996	4154	12
997	4157	8
998	4160	4
999	4165	0
